,Track_id,Name,Album,Artist,Release_Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentness,Liveness,Loudness,Valence,Speechness,Tempo,Time_Signature
383,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13,222369,94,0.959,0.444,0.0911,1.05e-06,0.098,-17.665,0.142,0.0307,78.403,4
384,0UH4O4KBwExIriMzvBfPC9,Clandestina,Clandestina,Besomorph,2023-09-22,102000,19,0.686,0.757,0.794,0.00411,0.105,-9.797,0.25,0.613,159.993,4
385,7dJYggqjKo71KI9sLzqCs8,Agora Hills,Scarlet,Doja Cat,2023-09-22,265360,91,0.228,0.75,0.674,8.91e-05,0.122,-6.128,0.392,0.097,123.026,4
386,1ckhUtD8nBH2ShPlU8w2nU,ALL MY FELLAS,ALL MY FELLAS,Frizk,2023-09-19,141334,77,0.00624,0.602,0.676,0.826,0.0635,-11.385,0.716,0.0527,160.021,4
387,4ndTXhzw5vx2KXZXOHOe8S,therapy,therapy,Gloria Kim,2023-11-24,136804,51,0.00177,0.601,0.851,1.53e-05,0.102,-4.991,0.612,0.0593,154.974,4
388,6XaJfhwof7qIgbbXO5tIQI,Igual Que Un Ángel (with Peso Pluma),ORQUÍDEAS,Kali Uchis,2024-01-12,260370,95,0.00348,0.685,0.61,0.00054,0.183,-5.36,0.464,0.0343,107.999,4
389,0QosomGFiJYOxj2ViZfqng,Selfish,Selfish,Justin Timberlake,2024-01-25,229331,88,0.0723,0.69,0.543,0.0291,0.0873,-6.752,0.376,0.0364,88.004,4
390,6iIfv3VOMLsX9Y7edcf9ly,Love To Me,Love To Me,Meric,2023-10-20,162676,49,0.0353,0.707,0.687,0.000169,0.0721,-6.559,0.34,0.121,141.988,4
391,4wQmwPWCUn6gi11Gep2qsP,IT GIRL,IT GIRL,Aliyah's Interlude,2023-09-30,161760,77,0.00822,0.969,0.707,0.0,0.314,-5.509,0.421,0.258,124.991,4
392,2i8f4VnnBjy0yDqH2C452a,bad idea right?,bad idea right?,Olivia Rodrigo,2023-08-11,184783,32,0.00196,0.628,0.878,1.23e-05,0.0649,-3.468,0.796,0.0901,129.976,4
393,05EatbIhTjuB6QjSTputWB,Animals,Animals,Johnning,2023-12-15,182363,49,0.0218,0.55,0.74,1.17e-06,0.105,-6.169,0.488,0.047,155.854,4
394,48vIfHaK7by6x0T6ucpODL,Make You Mine,Make You Mine,Madison Beer,2024-02-09,221709,85,0.216,0.514,0.658,0.00586,0.206,-6.454,0.466,0.0414,123.171,4
395,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,175238,92,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.304,0.0343,128.04,4
396,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,The Beginning: Cupid,FIFTY FIFTY,2023-02-24,174253,83,0.435,0.783,0.592,4.15e-06,0.347,-8.332,0.726,0.0331,120.018,4
397,5seOJJVjyWCIBkSEBJrIGX,just for now,just for now,Arya,2023-10-27,181224,48,0.0559,0.66,0.564,7.07e-06,0.392,-8.751,0.929,0.177,98.105,4
398,3xIMkM5LgbVDkpO74O3Np3,Rush,Rush,Troye Sivan,2023-07-13,156391,44,0.00306,0.742,0.839,4.2e-05,0.106,-7.614,0.346,0.0618,126.03,4
